# synthetic-geometric-shares
# Derived from aggregate moments for us-naics-423830; not observed firm shares.
rank,share
1,0.021686862335
2,0.020163663872
3,0.018747448776
4,0.017430702964
5,0.016206440111
6,0.015068164583
7,0.014009836975
8,0.013025842066
9,0.012110959022
10,0.011260333704
11,0.010469452906
12,0.009734120412
13,0.009050434731
14,0.008414768397
15,0.007823748724
16,0.007274239908
17,0.006763326394
18,0.006288297402
19,0.005846632545
20,0.005435988462
21,0.005054186376
22,0.004699200542
23,0.004369147493
24,0.004062276049
25,0.003776958029
26,0.003511679605
27,0.003265033276
28,0.003035710399
29,0.002822494243
30,0.002624253538
31,0.002439936466
32,0.002268565088
33,0.002109230151
34,0.001961086262
35,0.001823347407
36,0.001695282779
37,0.001576212898
38,0.001465506008
39,0.001362574728
40,0.00126687293
41,0.001177892843
42,0.001095162361
43,0.001018242537
44,0.000946725255
45,0.00088023106
46,0.000818407151
47,0.000760925506
48,0.000707481142
49,0.000657790497
50,0.000611589924
51,0.000568634294
52,0.000528695695
53,0.000491562225
54,0.00045703686
55,0.000424936419
56,0.000395090585
57,0.000367341003
58,0.00034154044
59,0.000317552006
60,0.000295248423
61,0.000274511355
62,0.000255230775
63,0.000237304386
64,0.000220637076
65,0.00020514041
66,0.000190732168
67,0.000177335904
68,0.000164880539
69,0.000153299989
70,0.000142532811
71,0.000132521877
72,0.00012321407
73,0.000114560007
74,0.00010651377
75,0.000099032669
76,0.000092077011
77,0.00008560989
78,0.000079596993
79,0.000074006419
80,0.000068808504
81,0.00006397567
82,0.000059482275
83,0.000055304478
84,0.000051420113
85,0.000047808569
86,0.000044450687
87,0.000041328648
88,0.000038425889
89,0.000035727009
90,0.000033217686
91,0.000030884609
92,0.000028715398
93,0.000026698543
94,0.000024823344
95,0.000023079852
96,0.000021458815
97,0.000019951634
98,0.000018550311
99,0.000017247411
100,0.000016036022
101,0.000014909716
102,0.000013862517
103,0.000012888869
104,0.000011983607
105,0.000011141926
106,0.000010359362
107,0.000009631762
108,0.000008955265
109,0.000008326283
110,0.000007741478
111,0.000007197748
112,0.000006692207
113,0.000006222173
114,0.000005785153
115,0.000005378827
116,0.000005001039
117,0.000004649786
118,0.000004323204
119,0.000004019559
120,0.000003737242
121,0.000003474753
122,0.0000032307
123,0.000003003789
124,0.000002792814
125,0.000002596658
126,0.000002414279
127,0.00000224471
128,0.000002087051
129,0.000001940465
130,0.000001804174
131,0.000001677456
132,0.000001559638
133,0.000001450096
134,0.000001348247
135,0.000001253551
136,0.000001165507
137,0.000001083646
138,0.000001007535
139,0.00000093677
140,0.000000870975
141,0.000000809801
142,0.000000752924
143,0.000000700042
144,0.000000650874
145,0.000000605159
146,0.000000562655
147,0.000000523136
148,0.000000486393
149,0.000000452231
150,0.000000420468
151,0.000000390936
152,0.000000363478
153,0.000000337949
154,0.000000314213
155,0.000000292144
156,0.000000271625
157,0.000000252547
158,0.000000234809
159,0.000000218317
