# synthetic-geometric-shares
# Derived from aggregate moments for us-naics-332911; not observed firm shares.
rank,share
1,0.060587511028
2,0.055860473418
3,0.051502239282
4,0.047484034573
5,0.043779330196
6,0.040363666854
7,0.037214493566
8,0.034311018778
9,0.031634073093
10,0.02916598271
11,0.026890452739
12,0.024792459616
13,0.022858151917
14,0.021074758905
15,0.019430506215
16,0.01791453812
17,0.016516845856
18,0.015228201542
19,0.014040097258
20,0.01294468887
21,0.011934744244
22,0.011003595498
23,0.010145094977
24,0.009353574667
25,0.008623808772
26,0.007950979211
27,0.007330643813
28,0.006758706983
29,0.006231392664
30,0.005745219409
31,0.00529697739
32,0.004883707214
33,0.004502680377
34,0.004151381254
35,0.003827490489
36,0.003528869681
37,0.003253547268
38,0.002999705511
39,0.002765668487
40,0.002549891031
41,0.002350948533
42,0.002167527528
43,0.001998417031
44,0.001842500534
45,0.001698748642
46,0.001566212273
47,0.001444016392
48,0.001331354233
49,0.001227481976
50,0.001131713832
51,0.001043417519
52,0.000962010084
53,0.000886954057
54,0.000817753902
55,0.000753952742
56,0.000695129349
57,0.000640895357
58,0.000590892702
59,0.000544791253
60,0.000502286639
61,0.000463098236
62,0.000426967312
63,0.000393655322
64,0.000362942334
65,0.000334625573
66,0.000308518086
67,0.000284447505
68,0.00026225491
69,0.000241793782
70,0.000222929031
71,0.000205536108
72,0.000189500181
73,0.000174715377
74,0.000161084083
75,0.000148516303
76,0.000136929061
77,0.000126245856
78,0.000116396154
79,0.000107314926
80,0.000098942216
81,0.000091222744
82,0.000084105545
83,0.000077543631
84,0.000071493677
85,0.00006591574
86,0.000060772994
87,0.000056031485
88,0.000051659909
89,0.000047629403
90,0.000043913357
91,0.000040487236
92,0.000037328422
93,0.000034416059
94,0.000031730918
95,0.000029255272
96,0.000026972775
97,0.000024868359
98,0.00002292813
99,0.000021139277
100,0.000019489991
101,0.000017969382
102,0.000016567411
103,0.000015274821
104,0.00001408308
105,0.000012984318
106,0.000011971281
107,0.000011037282
108,0.000010176153
109,0.00000938221
110,0.00000865021
111,0.00000797532
112,0.000007353086
113,0.000006779398
114,0.000006250469
115,0.000005762808
116,0.000005313194
117,0.000004898658
118,0.000004516465
119,0.00000416409
120,0.000003839208
121,0.000003539673
122,0.000003263508
123,0.000003008889
124,0.000002774135
125,0.000002557697
126,0.000002358146
127,0.000002174163
128,0.000002004535
129,0.000001848141
130,0.000001703949
131,0.000001571007
132,0.000001448437
133,0.00000133543
134,0.00000123124
135,0.000001135178
136,0.000001046612
137,0.000000964955
138,0.000000889669
139,0.000000820257
140,0.000000756261
141,0.000000697257
142,0.000000642857
