# synthetic-geometric-shares
# Derived from aggregate moments for us-naics-512110; not observed firm shares.
rank,share
1,0.182843486069
2,0.137789022666
3,0.103836429591
4,0.078250094976
5,0.058968489073
6,0.04443806368
7,0.033488080409
8,0.025236282515
9,0.019017810141
10,0.014331631544
11,0.010800174215
12,0.008138903287
13,0.006133396128
14,0.004622065988
15,0.003483142708
16,0.002624861513
17,0.001978069388
18,0.00149065331
19,0.001123341428
20,0.000846538867
21,0.000637943224
22,0.000480747635
23,0.00036228661
24,0.000273015566
25,0.000205741801
26,0.000155044964
27,0.000116840334
28,0.000088049707
29,0.000066353379
30,0.000050003243
31,0.000037681944
32,0.000028396736
33,0.000021399496
34,0.000016126446
35,0.000012152729
36,0.000009158175
37,0.000006901509
38,0.000005200908
39,0.000003919352
40,0.000002953585
41,0.000002225792
