# synthetic-geometric-shares
# Derived from aggregate moments for us-naics-713110; not observed firm shares.
rank,share
1,0.339541012881
2,0.208745740227
3,0.128334376143
4,0.07889843444
5,0.048505810713
6,0.029820790356
7,0.018333464062
8,0.011271193704
9,0.006929394635
10,0.004260108669
11,0.002619063688
12,0.001610168927
13,0.000989912534
14,0.000608586347
15,0.000374151583
16,0.000230023903
17,0.000141415936
18,0.00008694082
19,0.000053450173
20,0.000032860525
21,0.000020202256
22,0.000012420105
23,0.000007635731
24,0.000004694356
