# synthetic-geometric-shares
# Derived from aggregate moments for us-naics-311351; not observed firm shares.
rank,share
1,0.172977402098
2,0.143534572532
3,0.119103265872
4,0.098830460782
5,0.082008330391
6,0.068049528459
7,0.056466682121
8,0.046855375223
9,0.038880028096
10,0.032262180754
11,0.026770770443
12,0.022214064065
13,0.018432963792
14,0.015295452159
15,0.012691982656
16,0.010531654904
17,0.00873904086
18,0.007251551237
19,0.006017250198
20,0.004993042007
21,0.004143166341
22,0.003437949712
