# synthetic-geometric-shares
# Derived from aggregate moments for us-naics-424720; not observed firm shares.
rank,share
1,0.0985686394
2,0.087405740988
3,0.077507040821
4,0.068729368448
5,0.060945767471
6,0.054043659305
7,0.047923214889
8,0.042495910803
9,0.037683248904
10,0.033415620966
11,0.029631301891
12,0.026275556952
13,0.023299850127
14,0.0206611421
15,0.018321267758
16,0.016246384184
17,0.014406481175
18,0.012774947182
19,0.011328184414
20,0.010045267529
21,0.008907640981
22,0.00789885064
23,0.007004305805
24,0.006211068173
25,0.005507664702
26,0.004883921675
27,0.004330817545
28,0.003840352458
29,0.003405432542
30,0.003019767307
31,0.002677778659
32,0.002374520226
33,0.00210560581
34,0.001867145952
35,0.001655691673
36,0.001468184591
37,0.001301912686
38,0.001154471075
39,0.001023727225
40,0.000907790117
41,0.000804982886
42,0.000713818574
43,0.000632978621
44,0.000561293792
45,0.00049772727
46,0.000441359657
47,0.000391375676
48,0.00034705238
49,0.000307748698
50,0.000272896158
51,0.000241990668
52,0.000214585225
53,0.000190283448
54,0.000168733848
55,0.00014962474
56,0.000132679738
57,0.000117653758
58,0.000104329469
59,0.000092514157
60,0.000082036929
61,0.000072746247
62,0.000064507734
63,0.000057202233
64,0.00005072408
65,0.000044979578
66,0.000039885641
67,0.000035368592
68,0.000031363099
69,0.000027811228
70,0.000024661607
71,0.00002186868
72,0.000019392052
73,0.000017195902
74,0.000015248466
75,0.000013521577
76,0.000011990259
77,0.000010632362
78,0.000009428247
79,0.000008360498
80,0.000007413671
81,0.000006574073
82,0.000005829559
83,0.000005169362
84,0.000004583932
85,0.000004064801
86,0.000003604463
87,0.000003196257
88,0.000002834281
89,0.000002513299
90,0.000002228668
91,0.000001976271
92,0.000001752458
93,0.000001553992
94,0.000001378003
95,0.000001221944
96,0.000001083559
